ID,Latitude,Longitude,Day,Hour,Minute,Duration,RemainingTime,Resources,Coverage,Ligitimacy,OnPeakHours,GridNumber,task_value
1,42.12226496514614,12.534513865571489,2,14,51,60,60,8,100,True,True,19,3
2,42.15576890373553,12.495746059653097,2,11,40,80,80,10,100,True,True,65,4
3,42.14397482701999,12.506639458908973,1,10,3,80,80,8,100,True,True,46,6
4,42.14299031339726,12.49604406184683,2,10,39,60,60,9,100,True,True,45,1
5,42.14777241495238,12.521271239709776,2,10,43,100,100,8,100,True,True,58,8
6,42.145508959947676,12.466538268302731,0,9,45,60,60,9,100,True,True,51,2
7,42.121752603039944,12.534938453003988,0,11,29,10,10,9,100,True,True,19,1
8,42.14396601555058,12.464758061491924,0,11,57,60,60,7,100,True,True,41,5
9,42.16056135650676,12.525319716537046,2,10,42,40,40,9,100,True,True,78,3
10,42.1521923370804,12.477919367932504,0,18,25,60,60,10,100,True,True,62,3
11,42.13087936365291,12.478966118155453,1,16,25,20,20,10,100,True,True,22,3
12,42.154980432236144,12.50515678581365,1,10,12,10,10,9,100,True,True,66,4
13,42.154644161678824,12.527088115633667,2,11,26,80,80,8,100,True,True,68,3
14,42.14911953906333,12.506205614861857,0,11,37,100,100,8,100,True,True,56,1
15,42.15069187675908,12.492931807132631,0,20,31,30,30,7,100,True,True,64,3
16,42.156454917090514,12.500553781397018,2,10,56,80,80,7,100,True,True,75,5
17,42.14412738934361,12.47867288243402,0,13,40,80,80,9,100,True,True,42,7
18,42.13629943227805,12.4930267810776,0,11,27,10,10,7,100,True,True,34,4
19,42.14841517291063,12.477475298289447,0,9,31,20,20,9,100,True,True,52,7
20,42.14670219474318,12.509569222881069,2,9,20,20,20,7,100,True,True,56,7
21,42.15669033445653,12.492250893757234,0,10,31,80,80,10,100,True,True,74,2
22,42.14930089262161,12.516585221285435,0,11,9,80,80,7,100,True,True,57,7
23,42.14058504259458,12.527607108447398,2,19,8,40,40,10,100,True,True,49,7
24,42.14718200796527,12.492278901129529,0,10,59,40,40,8,100,True,True,54,1
25,42.14487185910861,12.478374718445254,1,9,47,20,20,9,100,True,True,52,4
26,42.135803698566576,12.48560290421483,0,13,14,40,40,9,100,True,True,33,7
27,42.15654320206294,12.485188079369696,0,9,11,20,20,7,100,True,True,73,3
28,42.13050834495915,12.521232399797368,1,19,25,80,80,10,100,True,True,28,2
29,42.13237601612404,12.516513976138306,0,11,41,80,80,9,100,True,True,27,6
30,42.15595381330977,12.497377770437803,0,10,11,20,20,8,100,True,True,65,7
31,42.142889740078424,12.507231219494784,0,12,27,30,30,8,100,True,True,46,3
32,42.15349470118581,12.521080995587475,1,10,54,60,60,9,100,True,True,68,9
33,42.15086385618907,12.485566407604347,0,12,45,80,80,8,100,True,True,63,9
34,42.14569116843336,12.497336744257439,1,19,19,40,40,8,100,True,True,55,5
35,42.15510946585986,12.518064626227956,0,9,3,10,10,7,100,True,True,67,4
36,42.157616606529665,12.519801661861102,2,11,3,10,10,7,100,True,True,78,3
37,42.137378638249494,12.474629134441917,2,16,34,40,40,10,100,True,True,32,5
38,42.1410941422991,12.475046541156386,0,9,53,20,20,8,100,True,True,42,9
39,42.14786227040071,12.500935293327794,1,10,10,60,60,10,100,True,True,55,4
40,42.147317436899094,12.474314177823011,2,10,57,100,100,8,100,True,True,52,5
41,42.14711509370495,12.478704590986789,2,11,47,60,60,7,100,True,True,52,1
42,42.15589902807724,12.519687558948855,0,20,44,40,40,8,100,True,True,68,8
43,42.14611658573522,12.497020069448821,0,11,14,40,40,9,100,True,True,55,9
44,42.15536090430509,12.485419809928352,2,10,52,20,20,8,100,True,True,63,9
45,42.15374786253254,12.51180101278577,1,13,20,40,40,10,100,True,True,67,7
46,42.14975194781071,12.47613088295354,2,17,54,20,20,8,100,True,True,52,9
47,42.14903465094568,12.48404081143446,1,18,35,80,80,9,100,True,True,53,8
48,42.14289637013112,12.466275746900738,2,11,30,20,20,7,100,True,True,41,9
49,42.12673927559395,12.529576144076936,2,9,54,100,100,8,100,True,True,19,3
50,42.14362316126011,12.505189834984371,2,14,34,70,70,10,100,True,True,46,4
51,42.14700641732013,12.495476146908512,2,9,9,50,50,9,100,True,True,54,6
52,42.14914477893586,12.47638732681421,2,19,22,40,40,8,100,True,True,52,4
53,42.15272913051936,12.508171221735633,2,9,0,100,100,7,100,True,True,66,7
54,42.15114241169192,12.47586302990157,1,19,26,20,20,9,100,True,True,62,7
55,42.14339207739833,12.505988394129108,2,11,16,80,80,8,100,True,True,46,7
56,42.14336438959073,12.491142607299965,0,19,37,40,40,8,100,True,True,44,5
57,42.14285427103719,12.504944684590082,2,18,11,40,40,9,100,True,True,46,9
58,42.15764529300325,12.4852689,0,9,5,100,100,8,100,True,True,73,3
59,42.14741528626508,12.489250054350835,1,10,58,20,20,7,100,True,True,54,5
60,42.1408608898879,12.47991201571913,0,16,46,20,20,8,100,True,True,43,3
61,42.12325003162849,12.533687544230023,0,17,39,40,40,10,100,True,True,19,4
62,42.153048968957656,12.52699397678539,0,18,15,80,80,7,100,True,True,68,5
63,42.143867416944474,12.491064151116285,0,11,32,80,80,10,100,True,True,44,9
64,42.147884353595224,12.478147177271904,0,11,17,100,100,9,100,True,True,52,5
65,42.15297260191411,12.496455700363091,0,19,31,60,60,7,100,True,True,65,1
66,42.15344778789762,12.493647154569405,0,20,56,60,60,9,100,True,True,64,2
67,42.124567220002504,12.532902907806605,1,9,4,20,20,8,100,True,True,19,3
68,42.15843115026137,12.526540577457089,0,19,42,60,60,7,100,True,True,78,3
69,42.15568549153666,12.5200698,2,9,43,60,60,7,100,True,True,68,1
70,42.15355794296194,12.494334137198642,1,20,23,80,80,7,100,True,True,64,8
71,42.15596808581683,12.496054775818425,1,15,12,20,20,8,100,True,True,65,2
72,42.15162937900131,12.508255311586291,1,13,4,20,20,10,100,True,True,66,1
73,42.15314860172238,12.507750879652365,2,9,32,100,100,10,100,True,True,66,3
74,42.145469315076475,12.511315008982775,0,11,52,10,10,7,100,True,True,56,4
75,42.148224715288286,12.49134817506599,0,16,42,100,100,7,100,True,True,54,3
76,42.146889158765774,12.494026999620866,1,9,18,60,60,9,100,True,True,54,3
77,42.15655742060905,12.47012850800776,2,9,23,10,10,10,100,True,True,71,4
78,42.14816114972569,12.49145448253214,2,18,16,20,20,9,100,True,True,54,4
79,42.15951440760138,12.46755523255574,0,19,8,10,10,7,100,True,True,71,4
80,42.1365396085112,12.527210031404854,2,17,32,60,60,8,100,True,True,38,1
81,42.14401338054324,12.48866207174364,1,20,31,40,40,9,100,True,True,44,7
82,42.154443815171966,12.521897139202453,2,20,57,80,80,7,100,True,True,68,8
83,42.14368953456691,12.507225966557174,0,19,11,10,10,9,100,True,True,46,6
84,42.153665823549716,12.51915502101489,0,20,28,40,40,9,100,True,True,67,8
85,42.15196791937187,12.481808467168236,0,11,5,60,60,10,100,True,True,63,4
86,42.151175551118065,12.473300599623569,0,10,6,10,10,9,100,True,True,62,6
87,42.147010066174914,12.50113086281544,0,20,52,60,60,10,100,True,True,55,5
88,42.15232885823655,12.495802666448082,0,13,56,10,10,7,100,True,True,65,2
89,42.14351208749395,12.464293484572059,1,11,44,40,40,10,100,True,True,41,7
90,42.1185736824992,12.54005541086088,0,17,12,60,60,10,100,True,True,10,7
91,42.15903054988795,12.499105855597254,0,17,4,100,100,10,100,True,True,75,9
92,42.14797121981052,12.50987117169398,0,13,40,10,10,10,100,True,True,56,2
93,42.15156499104459,12.477904575108761,0,11,59,30,30,10,100,True,True,62,3
94,42.156690354436414,12.499124941477893,0,11,17,60,60,10,100,True,True,75,3
95,42.12834722150478,12.533992972218977,1,19,34,100,100,8,100,True,True,29,9
96,42.15269552657259,12.520071820937948,2,18,19,40,40,9,100,True,True,68,5
97,42.1451835461745,12.493321561866399,2,18,6,20,20,7,100,True,True,54,2
98,42.1401224704038,12.472098358950221,2,15,30,30,30,10,100,True,True,42,9
99,42.14768905435384,12.489652321656834,2,9,3,40,40,10,100,True,True,54,1
100,42.14591760300884,12.511173636978889,0,11,7,10,10,9,100,True,True,56,5
101,42.16507224271242,12.521646360692097,1,13,5,60,60,8,100,True,True,88,6
102,42.15866591535307,12.503897255963617,2,19,9,20,20,10,100,True,True,76,1
103,42.151817502991925,12.491397371177307,1,10,7,80,80,8,100,True,True,64,9
104,42.15294401641937,12.507579527174494,1,12,29,60,60,9,100,True,True,66,1
105,42.1433430721544,12.488238488012012,2,11,24,40,40,9,100,True,True,44,2
106,42.15045631224787,12.510737633582336,1,18,54,60,60,7,100,True,True,66,2
107,42.157313723903826,12.5204894,1,18,20,10,10,7,100,True,True,78,1
108,42.16197176121886,12.529122953606448,2,11,50,70,70,10,100,True,True,89,3
109,42.14248037615633,12.503098371277465,2,17,10,80,80,10,100,True,True,45,3
110,42.12131679944289,12.536754826010297,1,9,3,60,60,7,100,True,True,10,5
111,42.155707974263755,12.526389141059521,1,9,19,20,20,9,100,True,True,68,4
112,42.13346129136231,12.528199615052365,0,9,7,10,10,9,100,True,True,39,3
113,42.116188294684605,12.543276653245345,1,13,45,40,40,7,100,True,True,10,3
114,42.140965027333785,12.474358357550624,1,16,17,20,20,8,100,True,True,42,7
115,42.14015789247115,12.516148492694485,0,9,6,40,40,7,100,True,True,47,2
116,42.14504675616831,12.489849470189919,2,11,1,80,80,9,100,True,True,54,5
117,42.148616985613565,12.510968781121266,1,9,29,60,60,7,100,True,True,56,2
118,42.149405194965595,12.516428535334782,1,20,37,40,40,10,100,True,True,57,7
119,42.15179204611646,12.484466745908843,1,14,34,20,20,7,100,True,True,63,6
120,42.15303801202024,12.477511025092118,0,13,7,30,30,8,100,True,True,62,2
121,42.160181787501266,12.520489683379758,2,11,39,60,60,7,100,True,True,78,2
